StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,comp_acc,comp_rel,pair1_rel_c,pair1_conf_c,pair2_rel_c,pair2_conf_c,pair3_rel_c,pair3_conf_c,pair4_rel_c,pair4_conf_c,pair5_rel_c,pair5_conf_c,pair6_rel_c,pair6_conf_c,pair7_rel_c,pair7_conf_c,pair8_rel_c,pair8_conf_c,pair9_rel_c,pair9_conf_c,pair10_rel_c,pair10_conf_c,pair11_rel_c,pair11_conf_c,pair12_rel_c,pair12_conf_c,ed_level,political_affiliatio,political_affiliatio_4_TEXT,gender,gender_5_TEXT,Comprehension,Free-form feedback,Random ID,Create New Field or Choose From Dropdown...
12/5/19 20:25,12/5/19 20:25,0,100,4,1,12/5/19 20:25,R_VV8H1FCoPh7DRfj,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 20:30,12/5/19 20:32,0,100,113,1,12/5/19 20:32,R_vdeQJUDcREciqiJ,anonymous,EN,24,23,1,2,2,2,1,2,2,2,1,1,2,3,1,3,1,1,1,1,1,3,1,1,1,4,2,2,,2,,16,,85564,
12/5/19 20:35,12/5/19 20:35,0,100,32,1,12/5/19 20:35,R_3KpB8PREDA0fjcC,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 20:31,12/5/19 20:36,0,100,287,1,12/5/19 20:36,R_uaXiI9xckGVocrn,anonymous,EN,24,23,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,2,2,1,1,3,2,1,5,3,,1,,16,"The instructions were straight forward, the hit made sense and was interesting to complete. Good job for a pilot study.",6419,
12/5/19 20:23,12/5/19 20:38,0,100,896,1,12/5/19 20:38,R_W21yldpUzjJwT5v,anonymous,EN,24,23,1,4,1,1,1,4,2,1,1,4,1,1,1,1,1,5,1,3,2,4,1,3,1,5,5,3,,1,,16,,95410,
12/5/19 20:42,12/5/19 20:42,0,100,7,1,12/5/19 20:42,R_1I72G7inTdtb1m5,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 20:44,12/5/19 20:44,0,100,16,1,12/5/19 20:44,R_1mLci9q50NBl0pR,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 20:44,12/5/19 20:45,0,100,64,1,12/5/19 20:45,R_XEUuGFuYG4xt5cZ,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 20:41,12/5/19 20:45,0,100,248,1,12/5/19 20:45,R_12SDsfcdysmhMPQ,anonymous,IT,24,23,1,2,1,2,1,2,2,2,2,3,2,2,2,2,1,4,2,2,2,1,2,2,2,1,3,5,,2,,16,"Thank you very much for this HIT, and best of luck with your research",66959,
12/5/19 20:44,12/5/19 20:48,0,100,279,1,12/5/19 20:48,R_3n5SWqerN2YLxiM,anonymous,EN,24,23,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,3,2,3,5,1,,2,,16,,11613,
12/5/19 20:49,12/5/19 20:52,0,100,222,1,12/5/19 20:52,R_21I14CdhFjXDae0,anonymous,EN,24,23,1,1,1,1,1,3,1,4,1,1,1,1,1,2,2,1,1,3,2,1,2,1,2,1,3,2,,2,,16,Very good study.,84436,
12/5/19 20:49,12/5/19 20:53,0,100,264,1,12/5/19 20:53,R_3F4XySUuaTiBE2I,anonymous,EN,24,23,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,2,1,2,1,2,1,1,3,2,,1,,16,,58666,
12/5/19 20:45,12/5/19 20:57,0,100,724,1,12/5/19 20:57,R_eh6GKFuQyLyYYPT,anonymous,EN,24,23,2,3,1,2,1,2,2,2,2,2,1,1,2,3,2,4,1,2,2,3,1,3,2,3,6,2,,2,,16,Interesting study. At times it seemed that some of the claims could fit or not fit the mentioned headlines.,6383,
12/5/19 20:54,12/5/19 20:58,0,100,205,1,12/5/19 20:58,R_3PLH9Kdrt1fP0Z9,anonymous,EN,24,23,1,4,1,3,1,1,2,2,1,3,1,3,2,3,1,1,1,3,2,2,2,2,2,2,3,2,,2,,16,,64653,
12/5/19 20:49,12/5/19 20:58,0,100,565,1,12/5/19 20:58,R_XRpY9Hxnb0fVQBP,anonymous,EN,24,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,5,2,,2,,16,,19715,
12/5/19 20:56,12/5/19 20:58,0,100,137,1,12/5/19 20:58,R_2bUH5vp0aSYwsCM,anonymous,EN,24,23,1,2,1,1,2,4,1,3,1,1,1,3,1,3,1,2,1,3,1,3,1,2,1,2,4,2,,2,,16,,62236,
12/5/19 21:00,12/5/19 21:03,0,100,197,1,12/5/19 21:03,R_2uOFzry3OuzchRp,anonymous,EN,24,23,1,5,1,2,1,2,2,1,2,4,1,3,2,5,1,2,1,4,2,3,2,4,2,2,5,2,,2,,16,"no additional comments, thanks",84893,
12/5/19 21:18,12/5/19 21:18,0,100,8,1,12/5/19 21:18,R_22kPsWKOaAReezs,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 21:14,12/5/19 21:19,0,100,261,1,12/5/19 21:19,R_31bgSL6nEVzHmBV,anonymous,EN,24,23,1,1,1,3,1,2,1,4,1,1,1,1,2,3,1,2,1,4,2,1,2,4,2,1,3,3,,2,,16,,75997,
12/5/19 21:18,12/5/19 21:21,0,100,187,1,12/5/19 21:21,R_ZCUJK5tgHlptG3T,anonymous,EN,24,23,1,3,1,3,1,3,1,3,2,4,1,3,1,3,1,3,2,3,1,4,2,3,1,3,2,2,,2,,16,,71413,
12/5/19 21:22,12/5/19 21:22,0,100,15,1,12/5/19 21:22,R_A1ENFIChARwiDmx,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 21:12,12/5/19 21:23,0,100,659,1,12/5/19 21:23,R_3HXEI5v5AJhk5iE,anonymous,EN,24,23,2,1,1,1,1,4,1,1,2,4,1,5,2,3,1,5,2,1,2,1,1,4,2,1,5,2,,2,,16,Everything went smoothly so I currently do not have any suggestions for improvement.,93551,
12/5/19 21:17,12/5/19 21:24,0,100,412,1,12/5/19 21:24,R_2P6aA4DdQHwf4A5,anonymous,EN,24,23,1,3,2,2,1,2,1,1,2,2,1,1,2,2,1,4,2,3,2,2,1,2,2,1,2,2,,1,,16,,54422,
12/5/19 21:23,12/5/19 21:26,0,100,185,1,12/5/19 21:26,R_sAOFzJQMR4ENa6d,anonymous,EN,24,23,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,3,2,4,2,2,2,3,3,2,,2,,16,N/A,72202,
12/5/19 21:28,12/5/19 21:34,0,100,346,1,12/5/19 21:34,R_1CsvgXLbLxC7Yvm,anonymous,EN,24,23,2,3,1,2,1,3,2,4,2,3,1,2,2,4,1,4,2,3,2,3,1,4,2,2,2,3,,2,,16,I would've liked to see some examples of what the correct answer is.,58590,
12/5/19 23:10,12/5/19 23:11,0,100,18,1,12/5/19 23:11,R_232I3OCqayNT1nt,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 23:08,12/5/19 23:12,0,100,251,1,12/5/19 23:12,R_1H2aeeuj5IS23R3,anonymous,EN,24,23,1,3,1,1,1,1,1,1,2,4,1,1,1,2,1,2,1,2,2,4,1,3,1,4,3,2,,2,,16,,82934,
12/5/19 23:39,12/5/19 23:39,0,100,18,1,12/5/19 23:39,R_1OjAAfJYoTiBmuI,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/19 0:46,12/6/19 0:53,0,100,422,1,12/6/19 0:53,R_3nTRZ6GG3wcDaKz,anonymous,EN,24,23,1,3,1,1,1,1,2,1,2,3,1,1,2,2,1,3,1,3,2,1,2,3,2,1,2,3,,2,,16,,77267,
