StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,comp_acc,comp_rel,pair1_rel_c,pair1_conf_c,pair2_rel_c,pair2_conf_c,pair3_rel_c,pair3_conf_c,pair4_rel_c,pair4_conf_c,Q159,Q160,Q162,Q163,pair5_rel_c,pair5_conf_c,pair6_rel_c,pair6_conf_c,Q156,Q157,Q165,Q166,Q168,Q169,Q171,Q172,ed_level,political_affiliatio,political_affiliatio_4_TEXT,gender,gender_5_TEXT,Comprehension,Free-form feedback,Random ID,Create New Field or Choose From Dropdown...
2019-12-05 20:16:47,2019-12-05 20:22:43,IP Address,100,355,True,2019-12-05 20:22:44,R_3HOBE7jJ5SCn7IG,anonymous,EN,No,Yes,Yes,Slightly confident,Yes,Moderately confident,Yes,Moderately confident,No,Moderately confident,No,Moderately confident,Yes,Slightly confident,No,Not confident at all,Yes,Slightly confident,Yes,Slightly confident,Yes,Moderately confident,Yes,Slightly confident,No,Slightly confident,Some college but no degree,Other,libertarian,Female,,Yes,,87024,
2019-12-05 20:25:50,2019-12-05 20:25:55,IP Address,100,4,True,2019-12-05 20:25:55,R_VV8H1FCoPh7DRfj,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 20:30:35,2019-12-05 20:32:28,IP Address,100,113,True,2019-12-05 20:32:28,R_vdeQJUDcREciqiJ,anonymous,EN,No,Yes,Yes,Very confident,No,Very confident,Yes,Very confident,No,Very confident,Yes,Extremely confident,No,Moderately confident,Yes,Moderately confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Moderately confident,Yes,Extremely confident,Yes,Slightly confident,High school graduate (high school diploma or equivalent including GED),Democrat,,Male,,Yes,,85564,
2019-12-05 20:35:22,2019-12-05 20:35:54,IP Address,100,32,True,2019-12-05 20:35:54,R_3KpB8PREDA0fjcC,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 20:31:23,2019-12-05 20:36:11,IP Address,100,287,True,2019-12-05 20:36:11,R_uaXiI9xckGVocrn,anonymous,EN,No,Yes,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Very confident,Yes,Moderately confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Very confident,Yes,Very confident,No,Extremely confident,Yes,Moderately confident,No,Extremely confident,Bachelor's degree in college (4-year),Independent,,Female,,Yes,"The instructions were straight forward, the hit made sense and was interesting to complete. Good job for a pilot study.",6419,
2019-12-05 20:23:22,2019-12-05 20:38:18,IP Address,100,896,True,2019-12-05 20:38:18,R_W21yldpUzjJwT5v,anonymous,EN,No,Yes,Yes,Slightly confident,Yes,Extremely confident,Yes,Slightly confident,No,Extremely confident,Yes,Slightly confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Not confident at all,Yes,Moderately confident,No,Slightly confident,Yes,Moderately confident,Yes,Not confident at all,Bachelor's degree in college (4-year),Independent,,Female,,Yes,,95410,
2019-12-05 20:42:40,2019-12-05 20:42:47,IP Address,100,7,True,2019-12-05 20:42:47,R_1I72G7inTdtb1m5,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 20:44:41,2019-12-05 20:44:57,IP Address,100,16,True,2019-12-05 20:44:57,R_1mLci9q50NBl0pR,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 20:44:12,2019-12-05 20:45:17,IP Address,100,64,True,2019-12-05 20:45:17,R_XEUuGFuYG4xt5cZ,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 20:41:38,2019-12-05 20:45:46,IP Address,100,248,True,2019-12-05 20:45:46,R_12SDsfcdysmhMPQ,anonymous,IT,No,Yes,Yes,Very confident,Yes,Very confident,Yes,Very confident,No,Very confident,No,Moderately confident,No,Very confident,No,Very confident,Yes,Slightly confident,No,Very confident,No,Extremely confident,No,Very confident,No,Extremely confident,Some college but no degree,No preference,,Male,,Yes,"Thank you very much for this HIT, and best of luck with your research",66959,
2019-12-05 20:44:14,2019-12-05 20:48:54,IP Address,100,279,True,2019-12-05 20:48:54,R_3n5SWqerN2YLxiM,anonymous,EN,No,Yes,Yes,Very confident,Yes,Extremely confident,Yes,Very confident,No,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,No,Slightly confident,No,Moderately confident,No,Moderately confident,Bachelor's degree in college (4-year),Republican,,Male,,Yes,,11613,
2019-12-05 20:49:03,2019-12-05 20:52:45,IP Address,100,222,True,2019-12-05 20:52:46,R_21I14CdhFjXDae0,anonymous,EN,No,Yes,Yes,Extremely confident,Yes,Extremely confident,Yes,Moderately confident,Yes,Slightly confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Very confident,No,Extremely confident,Yes,Moderately confident,No,Extremely confident,No,Extremely confident,No,Extremely confident,Some college but no degree,Democrat,,Male,,Yes,Very good study.,84436,
2019-12-05 20:49:16,2019-12-05 20:53:40,IP Address,100,264,True,2019-12-05 20:53:40,R_3F4XySUuaTiBE2I,anonymous,EN,No,Yes,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Very confident,Yes,Extremely confident,Yes,Very confident,Yes,Moderately confident,Yes,Very confident,Yes,Very confident,Yes,Very confident,Yes,Extremely confident,Some college but no degree,Democrat,,Female,,Yes,,58666,
2019-12-05 20:45:38,2019-12-05 20:57:42,IP Address,100,724,True,2019-12-05 20:57:43,R_eh6GKFuQyLyYYPT,anonymous,EN,No,Yes,No,Moderately confident,Yes,Very confident,Yes,Very confident,No,Very confident,No,Very confident,Yes,Extremely confident,No,Moderately confident,No,Slightly confident,Yes,Very confident,No,Moderately confident,Yes,Moderately confident,No,Moderately confident,Master's degree,Democrat,,Male,,Yes,Interesting study. At times it seemed that some of the claims could fit or not fit the mentioned headlines.,6383,
2019-12-05 20:54:36,2019-12-05 20:58:01,IP Address,100,205,True,2019-12-05 20:58:01,R_3PLH9Kdrt1fP0Z9,anonymous,EN,No,Yes,Yes,Slightly confident,Yes,Moderately confident,Yes,Extremely confident,No,Very confident,Yes,Moderately confident,Yes,Moderately confident,No,Moderately confident,Yes,Extremely confident,Yes,Moderately confident,No,Very confident,No,Very confident,No,Very confident,Some college but no degree,Democrat,,Male,,Yes,,64653,
2019-12-05 20:49:10,2019-12-05 20:58:35,IP Address,100,565,True,2019-12-05 20:58:36,R_XRpY9Hxnb0fVQBP,anonymous,EN,No,Yes,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,No,Extremely confident,No,Extremely confident,No,Extremely confident,Bachelor's degree in college (4-year),Democrat,,Male,,Yes,,19715,
2019-12-05 20:56:39,2019-12-05 20:58:56,IP Address,100,137,True,2019-12-05 20:58:56,R_2bUH5vp0aSYwsCM,anonymous,EN,No,Yes,Yes,Very confident,Yes,Extremely confident,No,Slightly confident,Yes,Moderately confident,Yes,Extremely confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Very confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Very confident,Yes,Very confident,Associate degree in college (2-year),Democrat,,Male,,Yes,,62236,
2019-12-05 21:00:28,2019-12-05 21:03:46,IP Address,100,197,True,2019-12-05 21:03:46,R_2uOFzry3OuzchRp,anonymous,EN,No,Yes,Yes,Not confident at all,Yes,Very confident,Yes,Very confident,No,Extremely confident,No,Slightly confident,Yes,Moderately confident,No,Not confident at all,Yes,Very confident,Yes,Slightly confident,No,Moderately confident,No,Slightly confident,No,Very confident,Bachelor's degree in college (4-year),Democrat,,Male,,Yes,"no additional comments, thanks",84893,
2019-12-05 21:18:12,2019-12-05 21:18:21,IP Address,100,8,True,2019-12-05 21:18:21,R_22kPsWKOaAReezs,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 21:14:58,2019-12-05 21:19:19,IP Address,100,261,True,2019-12-05 21:19:19,R_31bgSL6nEVzHmBV,anonymous,EN,No,Yes,Yes,Extremely confident,Yes,Moderately confident,Yes,Very confident,Yes,Slightly confident,Yes,Extremely confident,Yes,Extremely confident,No,Moderately confident,Yes,Very confident,Yes,Slightly confident,No,Extremely confident,No,Slightly confident,No,Extremely confident,Some college but no degree,Independent,,Male,,Yes,,75997,
2019-12-05 21:18:29,2019-12-05 21:21:37,IP Address,100,187,True,2019-12-05 21:21:37,R_ZCUJK5tgHlptG3T,anonymous,EN,No,Yes,Yes,Moderately confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Moderately confident,No,Slightly confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Moderately confident,No,Moderately confident,Yes,Slightly confident,No,Moderately confident,Yes,Moderately confident,High school graduate (high school diploma or equivalent including GED),Democrat,,Male,,Yes,,71413,
2019-12-05 21:22:01,2019-12-05 21:22:17,IP Address,100,15,True,2019-12-05 21:22:17,R_A1ENFIChARwiDmx,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 21:12:24,2019-12-05 21:23:23,IP Address,100,659,True,2019-12-05 21:23:24,R_3HXEI5v5AJhk5iE,anonymous,EN,No,Yes,No,Extremely confident,Yes,Extremely confident,Yes,Slightly confident,Yes,Extremely confident,No,Slightly confident,Yes,Not confident at all,No,Moderately confident,Yes,Not confident at all,No,Extremely confident,No,Extremely confident,Yes,Slightly confident,No,Extremely confident,Bachelor's degree in college (4-year),Democrat,,Male,,Yes,Everything went smoothly so I currently do not have any suggestions for improvement.,93551,
2019-12-05 21:17:11,2019-12-05 21:24:04,IP Address,100,412,True,2019-12-05 21:24:04,R_2P6aA4DdQHwf4A5,anonymous,EN,No,Yes,Yes,Moderately confident,No,Very confident,Yes,Very confident,Yes,Extremely confident,No,Very confident,Yes,Extremely confident,No,Very confident,Yes,Slightly confident,No,Moderately confident,No,Very confident,Yes,Very confident,No,Extremely confident,High school graduate (high school diploma or equivalent including GED),Democrat,,Female,,Yes,,54422,
2019-12-05 21:23:31,2019-12-05 21:26:37,IP Address,100,185,True,2019-12-05 21:26:37,R_sAOFzJQMR4ENa6d,anonymous,EN,No,Yes,Yes,Extremely confident,Yes,Very confident,Yes,Very confident,No,Very confident,Yes,Very confident,Yes,Very confident,Yes,Very confident,Yes,Very confident,No,Moderately confident,No,Slightly confident,No,Very confident,No,Moderately confident,Some college but no degree,Democrat,,Male,,Yes,N/A,72202,
2019-12-05 21:28:57,2019-12-05 21:34:43,IP Address,100,346,True,2019-12-05 21:34:43,R_1CsvgXLbLxC7Yvm,anonymous,EN,No,Yes,No,Moderately confident,Yes,Very confident,Yes,Moderately confident,No,Slightly confident,No,Moderately confident,Yes,Very confident,No,Slightly confident,Yes,Slightly confident,No,Moderately confident,No,Moderately confident,Yes,Slightly confident,No,Very confident,High school graduate (high school diploma or equivalent including GED),Independent,,Male,,Yes,I would've liked to see some examples of what the correct answer is.,58590,
2019-12-05 23:10:45,2019-12-05 23:11:03,IP Address,100,18,True,2019-12-05 23:11:03,R_232I3OCqayNT1nt,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 23:08:45,2019-12-05 23:12:56,IP Address,100,251,True,2019-12-05 23:12:57,R_1H2aeeuj5IS23R3,anonymous,EN,No,Yes,Yes,Moderately confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,No,Slightly confident,Yes,Extremely confident,Yes,Very confident,Yes,Very confident,Yes,Very confident,No,Slightly confident,Yes,Moderately confident,Yes,Slightly confident,Some college but no degree,Democrat,,Male,,Yes,,82934,
2019-12-05 23:39:30,2019-12-05 23:39:49,IP Address,100,18,True,2019-12-05 23:39:49,R_1OjAAfJYoTiBmuI,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-06 00:46:09,2019-12-06 00:53:11,IP Address,100,422,True,2019-12-06 00:53:11,R_3nTRZ6GG3wcDaKz,anonymous,EN,No,Yes,Yes,Moderately confident,Yes,Extremely confident,Yes,Extremely confident,No,Extremely confident,No,Moderately confident,Yes,Extremely confident,No,Very confident,Yes,Moderately confident,Yes,Moderately confident,No,Extremely confident,No,Moderately confident,No,Extremely confident,High school graduate (high school diploma or equivalent including GED),Independent,,Male,,Yes,,77267,
